# HJD       V(%)     s_V(%)    P_l(%)   s_P_minus(%)   s_P_plus(%)    PA (deg)   Sigma_PA (deg)    Q(%)      U(%)    Sigma_Q_U
.646870   0.160100   0.305100   0.000000   0.000000   0.462701   171.500000   28.222436   0.347712   -0.106306   0.358200
.647525   0.161900   0.186400   0.000000   0.000000   0.484537   46.700000   26.887210   -0.023159   0.389813   0.366500
.648180   0.141800   0.170900   0.755821   0.197900   0.197900   83.600000   7.256392   -0.761884   0.173096   0.197900
.648835   0.193800   0.126800   0.444973   0.146600   0.146600   86.200000   8.964316   -0.464384   0.061962   0.146600
.649490   0.239100   0.121400   0.369655   0.151601   0.148907   83.000000   10.138941   -0.386566   0.096382   0.141000
.650145   0.143100   0.083000   0.592728   0.115100   0.115100   99.200000   5.461036   -0.572931   -0.190589   0.115100
.650800   0.146500   0.081000   0.568656   0.112100   0.112100   99.100000   5.540769   -0.550604   -0.181029   0.112100
.651455   0.095600   0.119400   0.614228   0.200100   0.200100   109.200000   8.873754   -0.506266   -0.401262   0.200100
.660620   0.080000   0.270400   0.000000   0.000000   0.388744   4.300000   40.628147   0.238093   0.036008   0.341500
.661280   0.059600   0.240800   0.000000   0.000000   0.280225   87.700000   206.811257   -0.038675   0.003112   0.280100
.661930   0.407800   0.357200   0.000000   0.000000   0.501769   74.600000   48.560917   -0.234668   0.139890   0.463100
.662590   -0.136900   0.299000   0.000000   0.000000   0.571161   27.100000   92.653121   0.100905   0.139909   0.557900
.663240   -0.211400   0.214600   0.000000   0.000000   0.541735   36.700000   29.419375   0.118818   0.398566   0.427100
.663895   -0.198300   0.225400   0.000000   0.000000   0.533408   41.400000   35.582793   0.045458   0.359840   0.450500
.664550   -0.014800   0.239000   0.000000   0.000000   0.278848   172.600000   150.944049   0.051048   -0.013488   0.278200
.665205   0.103800   0.197600   0.000000   0.000000   0.335251   15.500000   48.914514   0.155576   0.093479   0.309900
.665860   0.053700   0.175700   0.000000   0.000000   0.255218   161.800000   55.947116   0.099163   -0.073109   0.240600
.666515   0.062500   0.190600   0.000000   0.000000   0.250894   171.000000   43.338142   0.141327   -0.045920   0.224800
.667170   -0.215500   0.198400   0.520767   0.474743   0.293684   132.100000   16.228077   -0.070699   -0.696019   0.396300
.667825   0.215400   0.195600   0.369692   0.369692   0.303558   123.600000   17.996818   -0.237121   -0.564088   0.384400
.668480   -0.173200   0.159100   0.415939   0.382095   0.234774   123.500000   16.136389   -0.216778   -0.510696   0.312500
.669135   -0.185200   0.162600   0.256404   0.256404   0.295019   126.900000   18.675639   -0.138575   -0.476978   0.323800
.669790   -0.018300   0.145100   0.768752   0.311288   0.307563   131.100000   10.041996   -0.112318   -0.819943   0.290100
.670445   0.003600   0.144300   0.746662   0.310962   0.302832   131.600000   10.253494   -0.095374   -0.799834   0.288300
.671100   0.300800   0.164000   0.569537   0.372653   0.319809   126.500000   13.852432   -0.197175   -0.644932   0.326100
.671755   0.299200   0.160600   0.582343   0.365171   0.317599   127.100000   13.489054   -0.184987   -0.653731   0.319900
.672410   0.169200   0.071400   0.176129   0.172941   0.096246   126.800000   16.647860   -0.069089   -0.234744   0.142200
.673065   -0.031300   0.163700   0.000000   0.000000   0.245253   158.000000   110.479461   0.045103   -0.043555   0.241800
.673720   -0.060800   0.324300   0.000000   0.000000   0.466606   162.400000   54.489374   0.188515   -0.132983   0.438800
.674375   0.082600   0.238700   0.000000   0.000000   0.590107   140.900000   28.081103   0.095091   -0.455173   0.455800
.675030   -0.019200   0.238000   0.000000   0.000000   0.480394   142.600000   50.697827   0.066255   -0.243860   0.447200
.675685   -0.447300   0.430000   0.000000   0.000000   0.507937   88.300000   116.000892   -0.123782   0.007354   0.502100
.681835   0.247100   0.264400   0.000000   0.000000   0.362917   168.900000   40.867080   0.207302   -0.084599   0.319400
.682490   0.379800   0.319500   0.000000   0.000000   0.397599   170.000000   68.445642   0.149693   -0.054484   0.380600
.683145   -0.078400   0.143600   0.321880   0.190006   0.171404   88.700000   13.034446   -0.369519   0.016780   0.168300
.683800   -0.087700   0.147500   0.312447   0.200557   0.172912   90.200000   13.688283   -0.367291   -0.002564   0.175500
.684455   -0.177000   0.125300   0.592340   0.194000   0.194000   65.600000   8.916561   -0.410561   0.468980   0.194000
.685110   -0.102100   0.182500   0.558623   0.231164   0.225853   81.300000   10.205577   -0.574834   0.180142   0.214600
.685765   -0.061400   0.112100   0.785416   0.130600   0.130600   87.900000   4.699090   -0.794062   0.058312   0.130600
.686420   -0.112600   0.118400   0.761187   0.136900   0.136900   84.200000   5.070982   -0.757604   0.155514   0.136900
.687075   -0.264900   0.117200   1.080713   0.137300   0.137300   88.600000   3.610572   -1.088099   0.053217   0.137300
.687730   -0.231200   0.145300   1.078711   0.167900   0.167900   85.600000   4.405956   -1.078849   0.167015   0.167900
.688385   -0.189700   0.224100   0.825292   0.266000   0.266000   80.300000   8.788307   -0.817868   0.288017   0.266000
.689040   -0.234700   0.245800   0.723378   0.308347   0.300766   83.100000   10.444699   -0.760204   0.186724   0.285400
.689695   -0.306600   0.228200   0.607865   0.304262   0.288609   79.600000   11.612980   -0.630259   0.239413   0.273300
